"ProcessName","Path","Id"
"svchost","C:\WINDOWS\System32\svchost.exe","6180"
"svchost","C:\WINDOWS\System32\svchost.exe","6376"
"svchost","C:\WINDOWS\system32\svchost.exe","7136"
"svchost","C:\WINDOWS\System32\svchost.exe","7180"
"svchost","C:\WINDOWS\system32\svchost.exe","7456"
"svchost","C:\WINDOWS\system32\svchost.exe","7584"
"svchost","C:\WINDOWS\system32\svchost.exe","8184"
"svchost","C:\WINDOWS\system32\svchost.exe","8260"
"svchost",,"8336"
"svchost","C:\WINDOWS\system32\svchost.exe","8612"
"svchost","C:\WINDOWS\system32\svchost.exe","8648"
"svchost","C:\WINDOWS\system32\svchost.exe","8772"
"svchost","C:\WINDOWS\system32\svchost.exe","8964"
"svchost","C:\WINDOWS\system32\svchost.exe","9048"
"svchost","C:\WINDOWS\system32\svchost.exe","9736"
"svchost","C:\WINDOWS\system32\svchost.exe","10604"
"svchost","C:\WINDOWS\System32\svchost.exe","11112"
"svchost",,"11992"
"svchost","C:\WINDOWS\System32\svchost.exe","12760"
"svchost","C:\WINDOWS\system32\svchost.exe","13100"
"svchost","C:\WINDOWS\system32\svchost.exe","13284"
"svchost","C:\WINDOWS\system32\svchost.exe","14392"
"svchost","C:\WINDOWS\System32\svchost.exe","15008"
"svchost","C:\WINDOWS\system32\svchost.exe","15228"
"SynTPEnh","C:\WINDOWS\System32\SynTPEnh.exe","10652"
"SynTPEnhService","C:\WINDOWS\System32\SynTPEnhService.exe","3148"
"SynTPHelper","C:\WINDOWS\system32\SynTPHelper.exe","10764"
"System",,"4"
"SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","9136"
"SystemSettingsBroker","C:\Windows\System32\SystemSettingsBroker.exe","17340"
"taskhostw","C:\WINDOWS\system32\taskhostw.exe","7712"
"TbtP2pShortcutService","C:\WINDOWS\TbtP2pShortcutService.exe","4684"
"TeamViewer","C:\Program Files (x86)\TeamViewer\TeamViewer.exe","13380"
"TeamViewer_Service","C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe","4744"
"TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","11680"
"ThunderboltService","C:\WINDOWS\ThunderboltService.exe","4608"
"tphkload","C:\WINDOWS\System32\DriverStore\FileRepository\fn.inf_amd64_b35e68dd5c21bba8\driver\TPHKLOAD.exe","5812"
"tposd","C:\WINDOWS\System32\DriverStore\FileRepository\FN284F~1.INF\driver\TPOSD.EXE","6992"
"tv_w32","C:\Program Files (x86)\TeamViewer\tv_w32.exe","1900"
"tv_x64","C:\Program Files (x86)\TeamViewer\tv_x64.exe","2204"
"uhssvc","C:\Program Files\Microsoft Update Health Tools\uhssvc.exe","12796"
"Video.UI","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10031.0_x64__8wekyb3d8bbwe\Video.UI.exe","7368"
"vmnat","C:\Windows\SysWOW64\vmnat.exe","4852"
"vmnetdhcp","C:\Windows\SysWOW64\vmnetdhcp.exe","4860"
"vmware-authd","C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe","5800"
"vmware-hostd","C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe","6388"
"vmware-tray","C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe","12968"
"vmware-usbarbitrator64","C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe","5792"
"vmwsprrdpwks","C:\Program Files\Common Files\VMware\SerialPortRedirection\Client\vmwsprrdpwks.exe","4948"
"vpnclient_x64","C:\Program Files\SoftEther VPN Client\vpnclient_x64.exe","4572"
"vpnclient_x64","C:\Program Files\SoftEther VPN Client\vpnclient_x64.exe","7864"
"vpncmgr_x64","C:\Program Files\SoftEther VPN Client\vpncmgr_x64.exe","12560"
"Widgets","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_423.8900.0.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","9380"
"WidgetService","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_423.8900.0.0_x64__cw5n1h2txyewy\Dashboard\widgetservice.exe","11188"
"wininit",,"700"
"winlogon","C:\WINDOWS\system32\winlogon.exe","1512"
"wlanext","C:\WINDOWS\system32\WLANExt.exe","5028"
"WmiPrvSE","C:\WINDOWS\system32\wbem\wmiprvse.exe","13724"
"WMIRegistrationService","C:\WINDOWS\System32\DriverStore\FileRepository\mewmiprov.inf_amd64_21e0cf0737fd48af\WMIRegistrationService.exe","5016"
"WUDFHost","C:\Windows\System32\WUDFHost.exe","1256"
"WUDFHost","C:\Windows\System32\WUDFHost.exe","1436"
